fetch_surface,fletch_id,season,season_type,source_kind,source_url,cache_targets,mutation_mode,acquisition_mode,activation_rule,icelines_validation_floor,handoff_status,validation_status
boxscore,icelines.boxscore.20252026,20252026,regular,adapter,icelines-gamecenter-batch://boxscore/from-schedule-date,~/.icelines/data/boxscores/<date>/<game_id>.json + EventStream score rows,generic-batch-http-cacheline-after-schedule,generic-batch-http-cacheline-after-schedule,"ICELINES owns date schedule expansion, favorite filters, event-stream writes, and derived record payloads","ICELINES validates game identity, score/event payload versioning, and favorite-player intersections",batch-expansion-ready-after-domain-set,pass
career,icelines.career.20252026,20252026,regular,adapter,icelines-player-landing-batch://career/from-active-or-bundled-bios,~/.icelines/career_history.json,generic-batch-http-cacheline-after-player-set,generic-batch-http-cacheline-after-player-set,"ICELINES owns active/bundled player-set expansion, merge/upsert semantics, rate limit, and skipped-player reporting","ICELINES validates career landing parsing, multi-league history merge, and preserved existing entries",batch-expansion-ready-after-domain-set,pass
contracts,icelines.contracts.20252026,20252026,regular,adapter,icelines-player-landing-batch://contracts/from-active-stats-bios,snapshots/20252026-<date>-contracts/contracts/contracts.json,generic-batch-http-cacheline-after-player-set,generic-batch-http-cacheline-after-player-set,"ICELINES owns active-bios player-set expansion, per-player rate limit, partial skip logging, and snapshot sealing",ICELINES validates player-id coverage and nullable contract field forward-compatibility,batch-expansion-ready-after-domain-set,pass
moneypuck,icelines.moneypuck.20252026.skaters,20252026,regular,http,https://moneypuck.com/moneypuck/playerData/seasonSummary/2025/regular/skaters.csv,snapshots/20252026-<date>-moneypuck/moneypuck/moneypuck.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-csv-parse-json-snapshot-seal,"ICELINES validates CSV headers, player rows, derived percentages, snapshot metadata, and UI semantics",generic-fetch-ready,pass
play-by-play,icelines.play-by-play.20252026,20252026,regular,adapter,icelines-gamecenter-batch://play-by-play/from-schedule-date,~/.icelines/data/play_by_play/<date>/<game_id>.json,generic-batch-http-cacheline-after-schedule,generic-batch-http-cacheline-after-schedule,"ICELINES owns date schedule expansion, favorite filters, raw event persistence, and records eligibility","ICELINES validates event participants, goalie/fight record semantics, and manifest updates",batch-expansion-ready-after-domain-set,pass
rosters,icelines.roster.20252026.ANA,20252026,regular,http,https://api-web.nhle.com/v1/roster/ANA/20252026,snapshots/20252026-<date>-rosters/rosters/ANA.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.BOS,20252026,regular,http,https://api-web.nhle.com/v1/roster/BOS/20252026,snapshots/20252026-<date>-rosters/rosters/BOS.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.BUF,20252026,regular,http,https://api-web.nhle.com/v1/roster/BUF/20252026,snapshots/20252026-<date>-rosters/rosters/BUF.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.CAR,20252026,regular,http,https://api-web.nhle.com/v1/roster/CAR/20252026,snapshots/20252026-<date>-rosters/rosters/CAR.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.CBJ,20252026,regular,http,https://api-web.nhle.com/v1/roster/CBJ/20252026,snapshots/20252026-<date>-rosters/rosters/CBJ.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
rosters,icelines.roster.20252026.CGY,20252026,regular,http,https://api-web.nhle.com/v1/roster/CGY/20252026,snapshots/20252026-<date>-rosters/rosters/CGY.json,generic-http-cacheline,generic-http-cacheline,fletch-acquires-source-icelines-owns-snapshot-seal-and-active-pointer,snapshot is valid only after ICELINES parses every roster and seals the rosters tier,generic-fetch-ready,pass
